province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-21,24.46,27.360000000000003,22.66,25.880000000000003,29.419999999999998,23.32,7.12,7.12,0.0,12.0,79.2,26.619999999999997,72.8,18.03,1001.4799999999999,100.0,20.22,0.0,3.724,14.7379,108.40180000000001,7.944,12.874,7,30,3,225,1970-01-21 06:57:55.572,1970-01-21 06:58:41.892,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-22,23.82,25.76,22.64,25.44,28.04,23.32,12.2,12.2,0.0,15.4,83.6,24.4,68.26,9.778,1001.8399999999999,100.0,20.54,0.0,2.132,14.7379,108.40180000000001,1.952,12.863999999999999,7,30,51,148,1970-01-21 06:59:21.972,1970-01-21 07:00:08.292,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-23,24.32,27.779999999999994,22.380000000000003,27.3,31.5,24.380000000000003,9.540000000000001,9.540000000000001,0.0,12.6,84.0,16.880000000000003,51.92,17.696,1004.1200000000001,100.0,21.06,0.0,3.558,14.7379,108.40180000000001,8.902000000000001,12.857999999999999,7,30,51,221,1970-01-21 07:00:48.408,1970-01-21 07:01:34.692,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-24,23.74,27.2,21.86,26.619999999999997,29.880000000000003,24.18,9.84,9.84,0.0,12.4,85.6,15.040000000000001,45.0,12.466,1005.5,100.0,20.96,0.0,2.5420000000000003,14.7379,108.40180000000001,3.112,12.85,7,30,53,260,1970-01-21 07:02:14.832,1970-01-21 07:03:01.080,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-25,23.6,27.26,21.18,26.28,29.660000000000004,23.64,4.0200000000000005,4.0200000000000005,0.0,8.2,84.4,15.039999999999997,43.0,13.797999999999998,1005.64,99.4,20.46,0.0,2.7939999999999996,14.7379,108.40180000000001,4.938,12.84,7,30,53,262,1970-01-21 07:03:41.232,1970-01-21 07:04:27.468,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-26,23.2,26.419999999999998,21.52,26.419999999999998,29.580000000000002,23.919999999999998,11.26,11.26,0.0,12.8,90.4,16.7,48.38,11.626000000000001,1005.8799999999999,93.6,21.380000000000003,0.0,2.21,14.7379,108.40180000000001,4.6240000000000006,12.830000000000002,7,30,65,2,1970-01-21 07:05:07.656,1970-01-21 07:05:53.832,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-27,23.54,26.0,21.86,26.419999999999998,29.2,24.580000000000002,7.459999999999999,7.459999999999999,0.0,14.4,87.4,15.84,44.8,12.242,1005.6,99.8,21.08,0.0,2.522,14.7379,108.40180000000001,4.384,12.819999999999999,7,30,51,214,1970-01-21 07:06:34.068,1970-01-21 07:07:20.220,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-28,24.080000000000002,27.419999999999998,22.2,26.52,29.880000000000003,24.32,5.380000000000001,5.380000000000001,0.0,10.0,83.2,19.68,52.120000000000005,13.846,1004.8399999999999,99.0,20.759999999999998,0.0,2.782,14.7379,108.40180000000001,5.928,12.814000000000002,7,31,3,193,1970-01-21 07:08:00.492,1970-01-21 07:08:46.620,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-29,24.82,28.2,22.56,27.5,30.98,24.880000000000003,13.0,13.0,0.0,11.6,82.8,19.66,54.74000000000001,15.888,1004.3799999999999,97.8,21.28,0.0,3.2920000000000003,14.7379,108.40180000000001,6.9959999999999996,12.803999999999998,7,31,51,225,1970-01-21 07:09:26.892,1970-01-21 07:10:12.972,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-30,24.24,27.04,22.48,26.639999999999997,29.380000000000003,24.18,12.52,12.52,0.0,15.4,84.8,25.1,66.53999999999999,15.059999999999999,1004.9,99.8,21.240000000000002,0.0,3.11,14.7379,108.40180000000001,6.26,12.794,7,31,55,256,1970-01-21 07:10:53.316,1970-01-21 07:11:39.372,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-07-31,24.86,28.26,22.759999999999998,27.4,31.080000000000002,24.3,5.08,5.08,0.0,10.2,81.8,21.04,55.42,13.384,1005.1,98.4,21.240000000000002,0.0,2.79,14.7379,108.40180000000001,5.516,12.784,7,31,51,198,1970-01-21 07:12:19.728,1970-01-21 07:13:05.760,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-01,25.52,30.24,22.66,28.419999999999998,33.76,25.16,2.06,2.06,0.0,6.4,79.8,17.02,47.46,18.04,1005.3399999999999,96.2,21.32,0.0,3.814,14.7379,108.40180000000001,9.51,12.774,8,31,3,242,1970-01-21 07:13:46.140,1970-01-21 07:14:32.112,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-02,25.860000000000003,30.619999999999997,22.36,29.04,34.2,25.22,1.3199999999999998,1.3199999999999998,0.0,5.8,78.2,17.580000000000002,46.12,24.107999999999997,1007.2,85.4,21.22,0.0,4.978,14.7379,108.40180000000001,11.558,12.764,8,31,3,235,1970-01-21 07:15:12.552,1970-01-21 07:15:58.500,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-03,25.860000000000003,30.560000000000002,22.580000000000002,29.0,34.32,25.3,1.3,1.3,0.0,5.8,78.0,16.580000000000002,45.78,22.224,1008.5,100.0,21.2,0.0,4.622,14.7379,108.40180000000001,10.564,12.754,8,31,3,243,1970-01-21 07:16:38.952,1970-01-21 07:17:24.888,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-04,26.54,31.7,22.839999999999996,29.639999999999997,35.839999999999996,25.54,0.5800000000000001,0.5800000000000001,0.0,3.6,74.0,16.080000000000002,43.92,23.924,1008.32,100.0,20.9,0.0,5.184,14.7379,108.40180000000001,11.61,12.74,8,32,51,238,1970-01-21 07:18:05.388,1970-01-21 07:18:51.252,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-05,26.619999999999997,32.04,22.8,29.880000000000003,35.980000000000004,25.54,0.28,0.28,0.0,2.0,73.4,14.1,39.32,24.982,1008.32,99.6,20.740000000000002,0.0,5.351999999999999,14.7379,108.40180000000001,12.022,12.73,8,32,51,230,1970-01-21 07:19:31.800,1970-01-21 07:20:17.640,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-06,25.939999999999998,31.5,21.96,29.419999999999998,35.96,24.78,0.6599999999999999,0.6599999999999999,0.0,5.6,75.8,12.559999999999999,34.78,23.278,1009.0799999999999,99.8,20.68,0.0,4.848000000000001,14.7379,108.40180000000001,11.756,12.72,8,32,51,227,1970-01-21 07:20:58.212,1970-01-21 07:21:43.992,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-07,24.9,31.7,21.28,28.78,36.519999999999996,24.48,5.32,5.32,0.0,5.0,80.8,12.639999999999999,33.78,22.778,1010.7,77.8,20.8,0.0,4.651999999999999,14.7379,108.40180000000001,11.514,12.71,8,32,63,194,1970-01-21 07:22:24.612,1970-01-21 07:23:10.380,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-08,24.32,30.560000000000002,20.22,28.160000000000004,35.64,23.04,3.7,3.7,0.0,4.6,80.8,8.1,25.5,23.212,1011.3,77.8,20.36,0.0,4.7,14.7379,108.40180000000001,11.83,12.7,8,32,51,220,1970-01-21 07:23:51.036,1970-01-21 07:24:36.732,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-09,23.8,29.160000000000004,20.98,27.860000000000003,34.68,24.02,6.9,6.9,0.0,6.2,86.2,10.12,28.939999999999998,18.996000000000002,1010.64,86.2,21.1,0.0,3.774,14.7379,108.40180000000001,10.452,12.69,8,32,63,223,1970-01-21 07:25:17.448,1970-01-21 07:26:03.120,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-10,24.14,30.02,21.080000000000002,28.1,35.32,23.96,8.84,8.84,0.0,8.4,84.0,10.08,31.080000000000002,21.1,1009.1600000000001,87.4,20.9,0.0,4.242,14.7379,108.40180000000001,11.214,12.68,8,32,63,225,1970-01-21 07:26:43.860,1970-01-21 07:27:29.472,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-11,24.18,30.080000000000002,20.660000000000004,28.439999999999998,35.62,23.740000000000002,3.3200000000000003,3.3200000000000003,0.0,7.2,85.8,9.82,28.160000000000004,23.336000000000002,1008.1200000000001,70.8,21.28,0.0,4.604,14.7379,108.40180000000001,11.542,12.666,8,33,51,226,1970-01-21 07:28:10.272,1970-01-21 07:28:55.860,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-12,24.139999999999997,29.68,20.66,28.5,35.339999999999996,23.84,4.0600000000000005,4.0600000000000005,0.0,7.4,86.2,10.1,28.580000000000002,22.169999999999998,1008.6,71.8,21.46,0.0,4.378,14.7379,108.40180000000001,11.642,12.654,8,33,63,229,1970-01-21 07:29:36.672,1970-01-21 07:30:22.212,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-13,23.6,29.52,20.52,27.76,35.0,23.6,6.74,6.74,0.0,5.6,87.4,9.940000000000001,28.860000000000003,20.606,1009.5600000000001,88.4,21.119999999999997,0.0,4.084,14.7379,108.40180000000001,10.358,12.64,8,33,63,231,1970-01-21 07:31:03.072,1970-01-21 07:31:48.600,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-14,23.46,29.660000000000004,19.7,27.5,34.86,22.32,6.44,6.44,0.0,5.0,87.0,9.22,27.52,21.732,1008.2,99.8,20.9,0.0,4.274,14.7379,108.40180000000001,11.190000000000001,12.63,8,33,63,219,1970-01-21 07:32:29.496,1970-01-21 07:33:14.952,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-15,23.240000000000002,29.04,19.4,27.080000000000002,34.06,22.3,5.0200000000000005,5.0200000000000005,0.0,6.0,85.8,9.8,28.080000000000002,21.544,1007.04,100.0,20.4,0.0,4.246,14.7379,108.40180000000001,11.632,12.62,8,33,55,6,1970-01-21 07:33:55.920,1970-01-21 07:34:41.340,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-16,22.8,28.52,19.64,26.82,33.56,22.8,11.76,11.76,0.0,11.0,88.2,8.9,27.919999999999998,19.024,1006.9799999999999,98.4,20.52,0.0,3.778,14.7379,108.40180000000001,8.192,12.61,8,33,63,40,1970-01-21 07:35:22.320,1970-01-21 07:36:07.692,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-17,22.52,27.0,20.880000000000003,26.26,31.72,24.259999999999998,16.34,16.34,0.0,19.4,92.8,11.959999999999999,32.239999999999995,15.448000000000002,1007.4,100.0,21.16,0.0,2.9259999999999997,14.7379,108.40180000000001,5.016,12.594,8,33,61,116,1970-01-21 07:36:48.732,1970-01-21 07:37:34.080,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-18,23.0,27.419999999999998,21.0,26.619999999999997,31.72,23.68,9.059999999999999,9.059999999999999,0.0,11.8,91.2,13.5,39.4,16.394,1009.24,99.6,21.36,0.0,3.12,14.7379,108.40180000000001,7.936,12.584,8,34,63,14,1970-01-21 07:38:15.132,1970-01-21 07:39:00.432,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-19,23.9,28.860000000000003,20.919999999999998,27.78,34.260000000000005,23.6,1.3800000000000001,1.3800000000000001,0.0,7.6,85.2,11.88,32.839999999999996,21.747999999999998,1010.8399999999999,67.4,21.080000000000002,0.0,4.202,14.7379,108.40180000000001,11.576,12.57,8,34,51,195,1970-01-21 07:39:41.532,1970-01-21 07:40:26.820,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-20,24.080000000000002,29.939999999999998,20.080000000000002,28.2,35.56,23.04,3.9199999999999995,3.9199999999999995,0.0,5.8,83.8,9.22,25.419999999999998,23.418,1011.1,99.8,20.84,0.0,4.728,14.7379,108.40180000000001,11.756,12.56,8,34,63,160,1970-01-21 07:41:07.956,1970-01-21 07:41:53.160,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-21,22.839999999999996,28.02,19.02,26.2,31.98,21.240000000000002,4.86,4.86,0.0,5.2,85.4,10.440000000000001,32.760000000000005,20.43,1011.9399999999999,96.0,20.02,0.0,3.976,14.7379,108.40180000000001,11.436,12.548,8,34,63,86,1970-01-21 07:42:34.356,1970-01-21 07:43:19.512,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-22,23.259999999999998,28.48,19.82,27.04,33.46,22.619999999999997,3.28,3.28,0.0,8.6,85.4,10.040000000000001,27.080000000000002,21.71,1010.78,89.4,20.419999999999998,0.0,4.264,14.7379,108.40180000000001,11.364,12.533999999999999,8,34,53,95,1970-01-21 07:44:00.780,1970-01-21 07:44:45.900,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-23,23.080000000000002,27.919999999999998,20.759999999999998,26.9,33.18,23.52,10.98,10.98,0.0,12.6,89.0,11.18,31.119999999999997,18.310000000000002,1009.74,94.8,21.04,0.0,3.54,14.7379,108.40180000000001,8.018,12.52,8,34,65,204,1970-01-21 07:45:27.180,1970-01-21 07:46:12.240,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-24,23.06,26.18,20.8,26.3,29.119999999999997,23.34,2.7800000000000002,2.7800000000000002,0.0,10.0,89.2,12.419999999999998,36.44,10.212,1006.04,100.0,21.0,0.0,2.106,14.7379,108.40180000000001,0.132,12.51,8,34,51,216,1970-01-21 07:46:53.580,1970-01-21 07:47:38.592,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-25,23.4,27.139999999999997,21.5,25.98,29.82,23.36,6.5,6.5,0.0,12.0,85.4,18.5,50.6,13.562000000000001,1005.5799999999999,100.0,20.54,0.0,2.7,14.7379,108.40180000000001,5.928,12.498000000000001,8,35,61,192,1970-01-21 07:48:19.980,1970-01-21 07:49:04.980,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-26,23.919999999999998,28.660000000000004,21.14,27.28,32.9,24.220000000000002,10.0,10.0,0.0,12.4,84.8,14.24,40.82,19.026,1008.9399999999999,99.2,20.880000000000003,0.0,3.722,14.7379,108.40180000000001,9.95,12.482000000000001,8,35,63,5,1970-01-21 07:49:46.392,1970-01-21 07:50:31.320,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-27,22.6,27.46,20.86,26.46,32.54,24.119999999999997,22.419999999999998,22.419999999999998,0.0,17.2,92.6,11.1,32.04,16.39,1010.1,98.8,21.22,0.0,3.1100000000000003,14.7379,108.40180000000001,5.5760000000000005,12.47,8,35,63,224,1970-01-21 07:51:12.792,1970-01-21 07:51:57.672,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-28,22.839999999999996,27.82,20.259999999999998,26.78,32.660000000000004,23.4,19.560000000000002,19.560000000000002,0.0,14.8,89.4,8.580000000000002,26.639999999999997,20.196,1008.72,89.0,20.740000000000002,0.0,3.9520000000000004,14.7379,108.40180000000001,8.797999999999998,12.458000000000002,8,35,63,264,1970-01-21 07:52:39.192,1970-01-21 07:53:24.060,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-29,22.72,26.580000000000002,19.32,26.22,29.919999999999998,21.9,2.7,2.7,0.0,8.0,88.0,9.32,24.619999999999997,13.862,1007.36,99.8,20.5,0.0,2.798,14.7379,108.40180000000001,4.128,12.443999999999999,8,35,55,238,1970-01-21 07:54:05.592,1970-01-21 07:54:50.400,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-30,23.44,28.1,20.86,27.2,32.68,23.5,6.380000000000001,6.380000000000001,0.0,10.8,88.2,11.440000000000001,33.7,18.214,1006.24,98.0,21.16,0.0,3.572,14.7379,108.40180000000001,8.953999999999999,12.431999999999999,8,35,51,13,1970-01-21 07:55:32.016,1970-01-21 07:56:16.752,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-08-31,23.52,28.46,20.04,27.72,33.54,23.1,4.380000000000001,4.380000000000001,0.0,9.2,86.4,7.06,23.18,20.042,1008.0799999999999,82.0,20.880000000000003,0.0,3.9539999999999997,14.7379,108.40180000000001,10.374,12.418000000000001,8,35,61,77,1970-01-21 07:56:58.416,1970-01-21 07:57:43.140,Hè,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-01,23.060000000000002,27.839999999999996,21.22,27.639999999999997,33.44,25.279999999999998,25.0,25.0,0.0,16.0,92.4,8.3,24.9,17.592000000000002,1007.9799999999999,92.8,21.68,0.0,3.434,14.7379,108.40180000000001,7.994,12.404,9,36,65,19,1970-01-21 07:58:24.840,1970-01-21 07:59:09.480,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-02,22.82,27.98,20.7,27.22,34.04,24.32,16.78,16.78,0.0,10.2,92.4,8.22,25.28,18.041999999999998,1008.8399999999999,95.0,21.419999999999998,0.0,3.4879999999999995,14.7379,108.40180000000001,7.925999999999999,12.392,9,36,65,102,1970-01-21 07:59:51.240,1970-01-21 08:00:35.820,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-03,23.22,28.6,20.419999999999998,27.619999999999997,34.38,23.86,5.34,5.34,0.0,8.2,90.6,10.84,31.3,21.240000000000002,1009.22,74.8,21.44,0.0,4.066,14.7379,108.40180000000001,10.974,12.378,9,36,61,31,1970-01-21 08:01:17.640,1970-01-21 08:02:02.220,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-04,23.22,28.939999999999998,20.0,27.68,35.120000000000005,23.46,12.280000000000001,12.280000000000001,0.0,9.8,90.4,7.380000000000001,24.54,20.708,1009.26,88.2,21.34,0.0,4.066,14.7379,108.40180000000001,9.884,12.367999999999999,9,36,61,53,1970-01-21 08:02:44.040,1970-01-21 08:03:28.560,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-05,23.02,27.98,20.28,27.560000000000002,33.739999999999995,23.880000000000003,14.1,14.1,0.0,13.2,92.4,6.720000000000001,23.479999999999997,17.151999999999997,1009.4399999999999,98.2,21.64,0.0,3.342,14.7379,108.40180000000001,7.5680000000000005,12.352,9,36,63,141,1970-01-21 08:04:10.440,1970-01-21 08:04:54.900,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-06,22.9,27.639999999999997,20.979999999999997,27.24,32.56,24.78,15.059999999999999,15.059999999999999,0.0,14.8,93.2,8.74,25.34,14.026,1009.6,100.0,21.66,0.0,2.734,14.7379,108.40180000000001,5.8,12.34,9,36,65,99,1970-01-21 08:05:36.840,1970-01-21 08:06:21.264,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-07,22.66,27.1,20.660000000000004,26.660000000000004,32.06,24.02,14.74,14.74,0.0,15.2,92.8,10.16,28.660000000000004,15.26,1009.0600000000001,99.8,21.34,0.0,2.944,14.7379,108.40180000000001,6.798,12.328,9,36,63,208,1970-01-21 08:07:03.240,1970-01-21 08:07:47.640,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-08,23.2,26.78,21.259999999999998,26.8,31.160000000000004,24.3,3.06,3.06,0.0,10.6,89.2,12.319999999999999,35.44,14.722,1009.78,98.8,21.240000000000002,0.0,2.79,14.7379,108.40180000000001,7.723999999999999,12.312000000000001,9,37,51,38,1970-01-21 08:08:29.640,1970-01-21 08:09:13.980,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-09,23.240000000000002,27.139999999999997,21.16,26.96,30.54,24.22,6.659999999999999,6.659999999999999,0.0,9.4,89.8,10.940000000000001,29.439999999999998,13.086000000000002,1011.46,97.6,21.380000000000003,0.0,2.59,14.7379,108.40180000000001,3.7079999999999997,12.3,9,37,61,225,1970-01-21 08:09:56.052,1970-01-21 08:10:40.320,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-10,23.1,28.7,20.259999999999998,27.160000000000004,34.0,23.26,5.859999999999999,5.859999999999999,0.0,6.4,88.4,8.780000000000001,24.94,19.714,1012.14,97.4,20.94,0.0,3.876,14.7379,108.40180000000001,9.809999999999999,12.288,9,37,61,229,1970-01-21 08:11:22.452,1970-01-21 08:12:06.684,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-11,23.04,28.919999999999998,19.419999999999998,27.2,34.9,22.380000000000003,4.32,4.32,0.0,6.2,88.0,9.76,29.0,22.334,1011.82,68.8,20.74,0.0,4.3420000000000005,14.7379,108.40180000000001,11.298,12.272,9,37,53,36,1970-01-21 08:12:48.852,1970-01-21 08:13:33.060,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-12,22.56,27.639999999999997,18.66,26.22,32.04,21.18,3.56,3.56,0.0,8.0,87.4,9.940000000000001,29.82,22.381999999999998,1011.9200000000001,66.8,20.16,0.0,4.248,14.7379,108.40180000000001,11.474,12.26,9,37,61,31,1970-01-21 08:14:15.252,1970-01-21 08:14:59.400,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-13,22.46,27.9,19.32,26.48,33.519999999999996,22.18,9.88,9.88,0.0,7.8,90.6,7.18,24.06,17.244,1012.22,98.6,20.759999999999998,0.0,3.3200000000000003,14.7379,108.40180000000001,6.720000000000001,12.244,9,37,65,69,1970-01-21 08:15:41.652,1970-01-21 08:16:25.740,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-14,23.04,28.360000000000003,19.8,27.22,33.44,22.96,6.220000000000001,6.220000000000001,0.0,7.8,88.8,5.86,20.02,18.718,1012.5799999999999,100.0,20.84,0.0,3.694,14.7379,108.40180000000001,8.818000000000001,12.23,9,37,63,45,1970-01-21 08:17:08.052,1970-01-21 08:17:52.092,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-15,22.68,28.060000000000002,20.279999999999998,26.96,34.08,23.759999999999998,14.2,14.2,0.0,9.0,91.6,8.86,26.560000000000002,19.82,1012.5,80.0,21.080000000000002,0.0,3.8299999999999996,14.7379,108.40180000000001,9.654,12.22,9,38,63,40,1970-01-21 08:18:34.488,1970-01-21 08:19:18.480,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-16,22.619999999999997,28.32,18.839999999999996,26.360000000000003,32.839999999999996,21.619999999999997,5.0200000000000005,5.0200000000000005,0.0,7.8,88.0,11.3,32.18,20.242,1011.28,98.8,20.28,0.0,3.9259999999999997,14.7379,108.40180000000001,10.0,12.202,9,38,53,10,1970-01-21 08:20:00.888,1970-01-21 08:20:44.820,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-17,21.919999999999998,25.34,20.46,25.860000000000003,29.560000000000002,24.04,15.539999999999997,15.539999999999997,0.0,18.8,94.4,8.68,26.060000000000002,12.762,1009.82,99.2,20.919999999999998,0.0,2.444,14.7379,108.40180000000001,4.956,12.19,9,38,63,19,1970-01-21 08:21:27.300,1970-01-21 08:22:11.160,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-18,22.380000000000003,26.119999999999997,20.080000000000002,26.3,30.540000000000003,23.580000000000002,11.8,11.8,0.0,16.6,92.2,8.6,25.34,15.563999999999998,1009.0200000000001,99.4,20.94,0.0,3.0060000000000002,14.7379,108.40180000000001,7.223999999999999,12.18,9,38,63,42,1970-01-21 08:22:53.700,1970-01-21 08:23:37.500,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-19,22.68,26.360000000000003,20.419999999999998,26.82,31.6,23.7,18.12,18.12,0.0,13.8,93.4,9.440000000000001,28.139999999999997,16.622,1010.1,93.6,21.46,0.0,3.134,14.7379,108.40180000000001,8.790000000000001,12.16,9,38,65,249,1970-01-21 08:24:20.100,1970-01-21 08:25:03.864,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-20,23.080000000000002,26.939999999999998,20.64,27.24,32.160000000000004,23.8,11.56,11.56,0.0,10.0,91.2,9.52,28.3,18.748,1009.9200000000001,71.2,21.5,0.0,3.53,14.7379,108.40180000000001,10.026,12.15,9,38,55,219,1970-01-21 08:25:46.500,1970-01-21 08:26:30.240,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-21,22.9,27.360000000000003,20.240000000000002,27.060000000000002,32.56,23.44,12.46,12.46,0.0,9.4,92.6,9.26,25.939999999999998,15.986,1009.0799999999999,99.2,21.52,0.0,3.058,14.7379,108.40180000000001,7.876,12.14,9,38,63,211,1970-01-21 08:27:12.900,1970-01-21 08:27:56.580,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-22,22.48,26.76,19.82,26.5,31.76,22.86,12.459999999999999,12.459999999999999,0.0,12.8,92.2,7.720000000000001,26.580000000000002,16.034,1008.8799999999999,98.2,21.02,0.0,3.092,14.7379,108.40180000000001,7.862,12.12,9,39,63,258,1970-01-21 08:28:39.300,1970-01-21 08:29:22.920,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-23,22.259999999999998,25.54,19.72,26.02,29.96,22.580000000000002,8.12,8.12,0.0,12.2,94.2,10.139999999999999,28.6,12.228,1007.4399999999999,99.8,21.259999999999998,0.0,2.304,14.7379,108.40180000000001,4.218,12.11,9,39,53,257,1970-01-21 08:30:05.700,1970-01-21 08:30:49.284,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-24,23.2,26.52,21.06,26.5,29.839999999999996,23.580000000000002,10.14,10.14,0.0,10.4,89.6,14.719999999999999,43.22,16.03,1005.18,99.6,21.3,0.0,2.9579999999999997,14.7379,108.40180000000001,8.382,12.097999999999999,9,39,53,249,1970-01-21 08:31:32.100,1970-01-21 08:32:15.660,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-25,23.0,25.68,21.22,26.82,29.640000000000004,24.66,7.640000000000001,7.640000000000001,0.0,14.6,92.0,10.72,31.24,11.552,1006.82,100.0,21.52,0.0,2.212,14.7379,108.40180000000001,3.84,12.08,9,39,61,254,1970-01-21 08:32:58.500,1970-01-21 08:33:42.000,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-26,22.54,25.939999999999998,20.68,26.76,31.32,24.34,16.580000000000002,16.580000000000002,0.0,15.8,94.0,8.42,24.18,14.834,1010.14,100.0,21.44,0.0,2.882,14.7379,108.40180000000001,6.454000000000001,12.07,9,39,63,6,1970-01-21 08:34:24.900,1970-01-21 08:35:08.340,Thu,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-09-27,21.86,24.419999999999998,20.44,25.68,28.880000000000003,23.82,23.080000000000002,23.080000000000002,0.0,22.8,97.0,10.6,32.82,8.952,1008.68,100.0,21.36,0.0,1.704,14.7379,108.40180000000001,0.628,12.052000000000001,9,39,63,328,1970-01-21 08:35:51.300,1970-01-21 08:36:34.728,Thu,,,
