province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Điện Biên,Trung du miền núi Bắc Bộ,2025-11-30,14.222222222222221,21.655555555555555,8.133333333333333,13.766666666666667,21.977777777777778,6.833333333333333,0.0,0.0,0.0,0.0,70.77777777777777,5.555555555555555,18.0,18.31888888888889,1015.188888888889,0.0,8.588888888888889,0.0,3.042222222222222,21.386,103.023,10.224444444444444,10.938888888888888,11,48,0,265,1970-01-21 10:08:04.080000000,1970-01-21 10:08:43.446666666,Thu,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-01,15.166666666666666,22.644444444444446,9.033333333333333,15.0,23.655555555555555,7.922222222222222,0.0,0.0,0.0,0.0,72.33333333333333,5.011111111111111,16.166666666666668,17.89333333333333,1015.0888888888888,9.777777777777779,9.81111111111111,0.0,3.0244444444444443,21.386,103.023,10.053333333333335,10.928888888888888,12,49,2,18,1970-01-21 10:09:30.526666666,1970-01-21 10:10:09.853333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-02,16.51111111111111,23.466666666666665,10.833333333333334,16.922222222222224,24.788888888888888,10.233333333333333,0.0,0.0,0.0,0.0,74.22222222222223,5.633333333333334,18.244444444444444,17.788888888888888,1014.4666666666667,1.0,11.633333333333333,0.0,3.0877777777777777,21.386,103.023,10.127777777777778,10.918888888888889,12,49,0,46,1970-01-21 10:10:56.960000000,1970-01-21 10:11:36.266666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-03,16.87777777777778,23.333333333333332,11.233333333333333,17.322222222222223,23.87777777777778,10.777777777777779,0.044444444444444446,0.044444444444444446,0.0,0.4444444444444444,81.77777777777777,11.222222222222221,29.355555555555554,13.727777777777778,1017.9666666666667,32.666666666666664,13.466666666666667,0.0,2.483333333333333,21.386,103.023,9.937777777777777,10.91,12,49,3,52,1970-01-21 10:12:23.400000000,1970-01-21 10:13:02.673333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-04,17.08888888888889,22.255555555555556,13.755555555555555,18.1,23.477777777777778,14.233333333333333,0.16666666666666666,0.16666666666666666,0.0,1.6666666666666667,86.22222222222223,6.0,17.133333333333333,10.653333333333332,1018.8555555555556,56.22222222222222,14.566666666666666,0.0,1.9155555555555557,21.386,103.023,6.745555555555556,10.901111111111112,12,49,51,39,1970-01-21 10:13:49.840000000,1970-01-21 10:14:29.080000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-05,16.41111111111111,21.666666666666668,12.5,17.155555555555555,22.788888888888888,12.622222222222222,0.09999999999999999,0.09999999999999999,0.0,1.0,87.66666666666667,7.388888888888889,19.799999999999997,10.738888888888887,1019.6444444444444,52.666666666666664,14.166666666666666,0.0,1.8944444444444446,21.386,103.023,7.606666666666667,10.892222222222223,12,49,3,55,1970-01-21 10:15:16.280000000,1970-01-21 10:15:55.500000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-06,17.200000000000003,22.866666666666667,13.11111111111111,18.366666666666667,24.066666666666663,13.488888888888887,0.2222222222222222,0.2222222222222222,0.0,2.111111111111111,87.0,6.044444444444444,18.200000000000003,10.832222222222224,1018.0888888888888,52.44444444444444,14.811111111111112,0.0,1.9722222222222223,21.386,103.023,6.136666666666667,10.884444444444446,12,49,51,10,1970-01-21 10:16:42.720000000,1970-01-21 10:17:21.906666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-07,17.544444444444444,23.433333333333337,13.744444444444444,18.711111111111112,24.811111111111114,14.5,0.4777777777777777,0.4777777777777777,0.0,2.4444444444444446,87.0,8.066666666666666,21.61111111111111,12.961111111111112,1017.688888888889,49.44444444444444,15.1,0.0,2.348888888888889,21.386,103.023,8.860000000000001,10.878888888888888,12,49,51,57,1970-01-21 10:18:09.153333333,1970-01-21 10:18:48.313333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-08,15.955555555555556,21.466666666666665,12.333333333333334,16.255555555555556,21.533333333333335,12.466666666666669,0.1777777777777777,0.1777777777777777,0.0,1.3333333333333333,86.0,9.9,25.6,12.574444444444444,1019.9666666666668,58.111111111111114,13.3,0.0,2.197777777777778,21.386,103.023,8.946666666666665,10.871111111111112,12,50,51,59,1970-01-21 10:19:35.593333333,1970-01-21 10:20:14.733333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-09,14.91111111111111,20.4,11.077777777777778,14.72222222222222,20.244444444444444,10.77777777777778,0.0,0.0,0.0,0.0,80.22222222222223,7.855555555555556,22.566666666666663,14.571111111111112,1019.311111111111,48.666666666666664,11.122222222222222,0.0,2.447777777777778,21.386,103.023,8.527777777777779,10.864444444444445,12,50,3,49,1970-01-21 10:21:02.026666666,1970-01-21 10:21:41.146666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-10,15.155555555555557,21.844444444444445,9.5,15.1,22.35555555555555,8.777777777777779,0.0,0.0,0.0,0.0,75.77777777777777,6.166666666666667,17.700000000000003,16.674444444444443,1018.4555555555556,8.555555555555555,10.555555555555555,0.0,2.8133333333333335,21.386,103.023,10.033333333333331,10.86,12,50,2,21,1970-01-21 10:22:28.466666666,1970-01-21 10:23:07.566666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-11,15.4,20.666666666666668,10.177777777777775,15.955555555555556,21.344444444444445,9.477777777777778,0.7222222222222222,0.7222222222222222,0.0,3.0,86.66666666666667,6.433333333333334,18.533333333333335,10.103333333333332,1018.3,59.44444444444444,13.033333333333331,0.0,1.771111111111111,21.386,103.023,5.918888888888889,10.854444444444445,12,50,51,27,1970-01-21 10:23:54.900000000,1970-01-21 10:24:33.973333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-12,16.5,19.211111111111112,14.577777777777776,17.98888888888889,20.799999999999997,15.711111111111112,7.366666666666666,7.366666666666666,0.0,10.77777777777778,93.77777777777776,4.833333333333333,15.2,7.195555555555556,1016.9888888888888,71.0,15.444444444444445,0.0,1.271111111111111,21.386,103.023,2.947777777777778,10.85,12,50,63,27,1970-01-21 10:25:21.340000000,1970-01-21 10:26:00.400000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-13,17.522222222222222,23.0,13.877777777777778,18.35555555555555,23.333333333333332,14.27777777777778,0.1222222222222222,0.1222222222222222,0.0,1.1111111111111112,85.88888888888889,10.422222222222222,27.37777777777778,12.006666666666668,1018.4555555555556,61.333333333333336,14.833333333333334,0.0,2.214444444444444,21.386,103.023,7.932222222222222,10.846666666666668,12,50,3,56,1970-01-21 10:26:47.773333333,1970-01-21 10:27:26.826666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-14,16.422222222222224,20.98888888888889,12.544444444444444,16.466666666666665,20.811111111111114,12.477777777777778,0.0777777777777777,0.0777777777777777,0.0,0.6666666666666666,81.55555555555556,11.011111111111113,29.033333333333335,12.592222222222222,1020.0222222222224,48.22222222222222,12.988888888888887,0.0,2.2466666666666666,21.386,103.023,8.908888888888889,10.842222222222222,12,50,3,102,1970-01-21 10:28:14.206666666,1970-01-21 10:28:53.226666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-15,15.244444444444444,21.133333333333333,10.922222222222222,15.577777777777776,21.64444444444445,10.622222222222222,0.0,0.0,0.0,0.0,85.11111111111111,6.266666666666667,17.91111111111111,12.234444444444444,1018.4888888888888,48.666666666666664,12.488888888888887,0.0,2.0999999999999996,21.386,103.023,8.563333333333333,10.84,12,51,3,68,1970-01-21 10:29:40.640000000,1970-01-21 10:30:19.660000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-16,16.144444444444446,22.188888888888886,10.911111111111111,16.88888888888889,23.288888888888888,10.744444444444444,0.2444444444444444,0.2444444444444444,0.0,2.0,85.0,5.488888888888889,16.87777777777778,14.57,1017.1111111111112,32.0,13.333333333333334,0.0,2.52,21.386,103.023,9.581111111111111,10.836666666666666,12,51,51,40,1970-01-21 10:31:07.066666666,1970-01-21 10:31:46.086666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-17,16.211111111111112,21.14444444444445,12.677777777777775,16.42222222222222,21.177777777777777,12.766666666666667,0.3777777777777777,0.3777777777777777,0.0,3.5555555555555554,84.55555555555556,9.211111111111112,24.288888888888888,11.375555555555556,1019.6,54.22222222222222,13.322222222222225,0.0,2.048888888888889,21.386,103.023,7.354444444444444,10.834444444444443,12,51,51,89,1970-01-21 10:32:33.500000000,1970-01-21 10:33:12.506666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-18,15.58888888888889,20.766666666666666,12.177777777777775,16.144444444444446,21.633333333333333,12.088888888888889,1.077777777777778,1.077777777777778,0.0,4.0,86.77777777777777,7.088888888888889,21.477777777777774,12.992222222222225,1018.9777777777776,46.44444444444444,13.166666666666666,0.0,2.201111111111111,21.386,103.023,9.273333333333332,10.83222222222222,12,51,51,33,1970-01-21 10:33:59.940000000,1970-01-21 10:34:38.946666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-19,15.622222222222222,21.27777777777778,11.666666666666666,16.166666666666668,21.455555555555556,11.822222222222225,0.1111111111111111,0.1111111111111111,0.0,1.0,86.0,7.977777777777778,22.98888888888889,12.973333333333333,1015.8666666666666,50.333333333333336,13.011111111111113,0.0,2.238888888888889,21.386,103.023,9.515555555555556,10.831111111111111,12,51,3,28,1970-01-21 10:35:26.366666666,1970-01-21 10:36:05.360000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-20,16.200000000000003,22.41111111111111,11.333333333333334,16.822222222222223,23.200000000000003,11.377777777777778,0.1333333333333333,0.1333333333333333,0.0,1.0,82.33333333333333,5.877777777777777,18.62222222222222,14.71,1015.5555555555557,36.111111111111114,12.833333333333334,0.0,2.556666666666666,21.386,103.023,9.704444444444444,10.83,12,51,3,10,1970-01-21 10:36:52.800000000,1970-01-21 10:37:31.793333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-21,15.744444444444444,21.666666666666668,11.244444444444444,15.91111111111111,21.58888888888889,11.077777777777778,0.1666666666666666,0.1666666666666666,0.0,1.6666666666666667,82.77777777777777,7.944444444444445,22.27777777777778,12.943333333333332,1018.2444444444444,39.44444444444444,12.444444444444445,0.0,2.261111111111111,21.386,103.023,9.112222222222222,10.83,12,51,51,38,1970-01-21 10:38:19.233333333,1970-01-21 10:38:58.213333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-22,16.12222222222222,22.655555555555555,10.855555555555556,16.544444444444444,22.655555555555555,10.72222222222222,0.0888888888888888,0.0888888888888888,0.0,0.5555555555555556,83.0,10.11111111111111,28.077777777777776,13.935555555555556,1016.0,30.11111111111111,12.877777777777778,0.0,2.457777777777778,21.386,103.023,9.482222222222225,10.83,12,52,3,55,1970-01-21 10:39:45.660000000,1970-01-21 10:40:24.653333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-23,17.22222222222222,23.133333333333333,12.18888888888889,18.044444444444444,23.655555555555555,12.422222222222222,0.5444444444444445,0.5444444444444445,0.0,2.3333333333333335,82.33333333333333,8.522222222222222,24.155555555555555,14.083333333333334,1014.1111111111112,30.666666666666668,13.88888888888889,0.0,2.5044444444444443,21.386,103.023,9.926666666666668,10.83,12,52,51,186,1970-01-21 10:41:12.093333333,1970-01-21 10:41:51.080000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-24,17.799999999999997,23.744444444444444,12.633333333333333,18.744444444444444,24.233333333333334,12.988888888888887,0.3222222222222222,0.3222222222222222,0.0,1.6666666666666667,81.55555555555556,10.088888888888889,27.155555555555555,14.342222222222224,1013.5222222222224,62.888888888888886,14.288888888888888,0.0,2.6033333333333335,21.386,103.023,9.89,10.831111111111111,12,52,51,108,1970-01-21 10:42:38.520000000,1970-01-21 10:43:17.526666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-25,15.7,20.333333333333332,11.744444444444444,15.555555555555555,19.833333333333332,11.122222222222222,0.3333333333333333,0.3333333333333333,0.0,2.5555555555555554,83.88888888888889,14.577777777777776,37.077777777777776,12.504444444444443,1017.0222222222224,54.55555555555556,12.77777777777778,0.0,2.167777777777778,21.386,103.023,9.231111111111112,10.834444444444443,12,52,51,88,1970-01-21 10:44:04.946666666,1970-01-21 10:44:43.953333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-26,14.311111111111112,19.11111111111111,9.72222222222222,13.922222222222222,19.200000000000003,8.733333333333333,0.0333333333333333,0.0333333333333333,0.0,0.3333333333333333,81.33333333333333,8.555555555555555,22.633333333333333,11.53,1017.9333333333332,60.888888888888886,10.944444444444445,0.0,1.9366666666666663,21.386,103.023,8.784444444444444,10.834444444444443,12,52,3,52,1970-01-21 10:45:31.380000000,1970-01-21 10:46:10.386666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-27,15.233333333333333,19.88888888888889,12.11111111111111,15.4,20.522222222222226,11.855555555555556,0.5222222222222223,0.5222222222222223,0.0,3.0,84.11111111111111,6.688888888888889,17.200000000000003,9.674444444444443,1017.1333333333334,77.55555555555556,12.422222222222222,0.0,1.7155555555555555,21.386,103.023,6.463333333333334,10.838888888888889,12,52,51,47,1970-01-21 10:46:57.800000000,1970-01-21 10:47:36.820000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-28,14.91111111111111,20.700000000000003,10.622222222222222,15.133333333333333,21.022222222222226,10.155555555555557,0.2777777777777778,0.2777777777777778,0.0,2.0,86.11111111111111,6.444444444444445,19.133333333333333,11.394444444444444,1017.2222222222222,59.111111111111114,12.377777777777778,0.0,1.9522222222222223,21.386,103.023,8.54,10.84,12,52,51,77,1970-01-21 10:48:24.226666666,1970-01-21 10:49:03.246666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-29,15.922222222222224,22.11111111111111,11.477777777777778,16.266666666666666,22.188888888888886,11.444444444444445,0.1,0.1,0.0,0.8888888888888888,83.44444444444444,9.566666666666666,26.733333333333334,13.077777777777778,1014.9444444444443,49.111111111111114,12.81111111111111,0.0,2.286666666666667,21.386,103.023,9.22888888888889,10.844444444444443,12,1,51,66,1970-01-21 10:49:50.653333333,1970-01-21 10:50:29.686666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-30,16.166666666666668,22.61111111111111,10.677777777777775,16.522222222222222,22.87777777777778,10.333333333333334,0.0222222222222222,0.0222222222222222,0.0,0.2222222222222222,81.0,7.666666666666667,21.933333333333337,14.654444444444444,1013.7333333333332,48.111111111111114,12.511111111111113,0.0,2.558888888888889,21.386,103.023,10.086666666666666,10.848888888888888,12,1,3,97,1970-01-21 10:51:17.073333333,1970-01-21 10:51:56.120000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2025-12-31,16.644444444444446,22.755555555555556,11.22222222222222,17.033333333333335,22.844444444444445,11.144444444444444,0.1666666666666666,0.1666666666666666,0.0,1.2222222222222223,80.22222222222223,10.72222222222222,29.755555555555556,15.535555555555554,1011.6555555555556,25.88888888888889,12.922222222222222,0.0,2.7222222222222223,21.386,103.023,10.338888888888889,10.851111111111113,12,1,3,154,1970-01-21 10:52:43.493333333,1970-01-21 10:53:22.566666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-01,16.833333333333332,23.155555555555555,11.411111111111111,17.444444444444443,23.755555555555556,11.38888888888889,0.3444444444444444,0.3444444444444444,0.0,1.8888888888888888,80.0,6.366666666666667,19.933333333333337,15.438888888888888,1014.1,29.333333333333332,12.944444444444445,0.0,2.712222222222222,21.386,103.023,10.226666666666668,10.856666666666666,1,1,51,198,1970-01-21 10:54:09.913333333,1970-01-21 10:54:49.000000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-02,15.977777777777776,20.844444444444445,12.555555555555555,16.188888888888886,21.055555555555557,12.38888888888889,0.9888888888888888,0.9888888888888888,0.0,5.666666666666667,85.55555555555556,9.644444444444444,25.522222222222226,13.55888888888889,1018.3444444444444,51.0,13.31111111111111,0.0,2.352222222222222,21.386,103.023,8.592222222222222,10.86111111111111,1,1,51,65,1970-01-21 10:55:36.326666666,1970-01-21 10:56:15.426666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-03,15.11111111111111,19.866666666666667,12.1,15.08888888888889,19.688888888888886,11.977777777777778,0.9555555555555556,0.9555555555555556,0.0,5.555555555555555,85.44444444444444,8.944444444444445,22.844444444444445,10.69111111111111,1019.1,64.55555555555556,12.488888888888887,0.0,1.8677777777777775,21.386,103.023,6.433333333333334,10.868888888888888,1,1,51,87,1970-01-21 10:57:02.746666666,1970-01-21 10:57:41.860000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-04,15.11111111111111,20.166666666666668,11.8,15.455555555555556,20.655555555555555,11.68888888888889,1.8555555555555552,1.8555555555555552,0.0,8.333333333333334,88.0,6.911111111111111,23.12222222222222,11.78111111111111,1018.2888888888888,75.0,12.9,0.0,1.9833333333333336,21.386,103.023,8.71888888888889,10.872222222222222,1,1,51,122,1970-01-21 10:58:29.160000000,1970-01-21 10:59:08.300000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-05,15.58888888888889,21.044444444444444,12.266666666666667,16.1,21.666666666666668,12.411111111111111,2.2333333333333334,2.2333333333333334,0.0,8.444444444444445,87.55555555555556,7.0,18.477777777777774,11.65,1018.8333333333334,63.888888888888886,13.31111111111111,0.0,2.0166666666666666,21.386,103.023,6.83,10.88,1,2,51,50,1970-01-21 10:59:55.573333333,1970-01-21 11:00:34.746666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-06,13.577777777777778,16.833333333333332,9.711111111111112,12.544444444444444,15.733333333333333,8.133333333333333,0.1111111111111111,0.1111111111111111,0.0,1.1111111111111112,83.88888888888889,14.18888888888889,34.63333333333333,7.892222222222222,1022.077777777778,77.55555555555556,10.755555555555556,0.0,1.46,21.386,103.023,3.6466666666666665,10.886666666666668,1,2,3,58,1970-01-21 11:01:21.986666666,1970-01-21 11:02:01.180000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-07,11.61111111111111,17.22222222222222,6.811111111111111,10.022222222222222,15.788888888888888,5.133333333333334,0.0,0.0,0.0,0.0,77.11111111111111,11.0,30.08888888888889,14.353333333333332,1023.9888888888888,32.888888888888886,7.388888888888889,0.0,2.265555555555556,21.386,103.023,10.017777777777775,10.894444444444446,1,2,3,51,1970-01-21 11:02:48.406666666,1970-01-21 11:03:27.613333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-08,11.366666666666667,17.644444444444446,6.277777777777778,9.755555555555556,16.055555555555557,4.544444444444444,0.0,0.0,0.0,0.0,75.44444444444444,11.377777777777778,31.233333333333334,16.221111111111114,1024.211111111111,29.555555555555557,6.711111111111111,0.0,2.497777777777778,21.386,103.023,10.514444444444443,10.902222222222225,1,2,3,51,1970-01-21 11:04:14.813333333,1970-01-21 11:04:54.066666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-09,11.833333333333334,18.98888888888889,5.444444444444445,10.822222222222225,18.98888888888889,3.7222222222222223,0.0,0.0,0.0,0.0,74.77777777777777,6.488888888888889,17.955555555555556,17.28222222222222,1021.3777777777776,46.888888888888886,7.077777777777778,0.0,2.717777777777778,21.386,103.023,10.598888888888888,10.911111111111111,1,2,3,94,1970-01-21 11:05:41.220000000,1970-01-21 11:06:20.500000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-10,13.377777777777778,20.5,6.944444444444445,12.766666666666667,20.666666666666668,5.5888888888888895,0.0,0.0,0.0,0.0,74.66666666666667,6.733333333333333,19.266666666666666,17.177777777777777,1018.8,28.22222222222222,8.588888888888889,0.0,2.8044444444444445,21.386,103.023,10.653333333333332,10.92111111111111,1,2,3,55,1970-01-21 11:07:07.633333333,1970-01-21 11:07:46.933333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-11,13.1,19.11111111111111,7.7333333333333325,11.922222222222222,17.733333333333334,6.466666666666667,0.0,0.0,0.0,0.0,75.0,12.944444444444445,34.51111111111111,14.812222222222225,1021.9333333333332,38.55555555555556,8.244444444444445,0.0,2.441111111111111,21.386,103.023,10.54888888888889,10.928888888888888,1,2,3,90,1970-01-21 11:08:34.040000000,1970-01-21 11:09:13.386666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-12,14.41111111111111,21.455555555555556,8.266666666666667,14.155555555555557,21.966666666666665,7.066666666666666,0.0,0.0,0.0,0.0,74.11111111111111,6.788888888888888,21.066666666666663,17.16,1019.4555555555556,20.444444444444443,9.588888888888889,0.0,2.8622222222222224,21.386,103.023,10.672222222222222,10.938888888888888,1,3,3,29,1970-01-21 11:10:00.440000000,1970-01-21 11:10:39.820000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-13,14.633333333333333,21.0,8.966666666666667,14.488888888888887,21.522222222222226,8.133333333333333,0.0,0.0,0.0,0.0,79.0,6.477777777777778,19.700000000000003,16.24,1018.688888888889,19.0,10.622222222222222,0.0,2.6866666666666665,21.386,103.023,10.687777777777775,10.948888888888888,1,3,3,38,1970-01-21 11:11:26.846666666,1970-01-21 11:12:06.266666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-14,16.311111111111114,22.61111111111111,10.666666666666666,16.51111111111111,22.62222222222222,10.155555555555557,0.1444444444444444,0.1444444444444444,0.0,1.1111111111111112,77.0,11.544444444444444,30.43333333333333,14.66,1015.1555555555556,23.88888888888889,12.066666666666666,0.0,2.608888888888889,21.386,103.023,10.676666666666668,10.96,1,3,51,162,1970-01-21 11:12:53.253333333,1970-01-21 11:13:32.706666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-15,16.822222222222223,22.433333333333337,12.055555555555555,17.633333333333333,23.14444444444445,12.155555555555557,1.3777777777777778,1.3777777777777778,0.0,5.888888888888889,84.88888888888889,7.888888888888889,23.755555555555556,13.834444444444443,1014.8,37.0,14.02222222222222,0.0,2.43,21.386,103.023,10.377777777777778,10.971111111111112,1,3,51,41,1970-01-21 11:14:19.653333333,1970-01-21 11:14:59.153333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-16,16.788888888888888,22.533333333333335,11.977777777777778,17.555555555555557,23.0,12.155555555555557,1.1222222222222222,1.1222222222222222,0.0,4.333333333333333,84.66666666666667,11.044444444444444,34.922222222222224,14.457777777777778,1013.0,42.44444444444444,13.933333333333334,0.0,2.5455555555555556,21.386,103.023,10.186666666666666,10.981111111111112,1,3,51,29,1970-01-21 11:15:46.060000000,1970-01-21 11:16:25.593333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-17,17.077777777777776,23.27777777777778,12.144444444444444,17.633333333333333,23.844444444444445,12.444444444444445,0.6333333333333333,0.6333333333333333,0.0,2.5555555555555554,77.22222222222223,6.5,19.799999999999997,16.96333333333333,1012.2222222222222,27.666666666666668,12.511111111111113,0.0,2.984444444444444,21.386,103.023,10.542222222222222,10.992222222222225,1,3,51,9,1970-01-21 11:17:12.460000000,1970-01-21 11:17:52.026666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-18,17.22222222222222,23.92222222222222,11.233333333333333,17.477777777777778,24.366666666666667,11.022222222222222,0.0,0.0,0.0,0.0,71.88888888888889,9.31111111111111,26.299999999999997,18.05444444444445,1011.7444444444444,4.444444444444445,11.755555555555556,0.0,3.227777777777778,21.386,103.023,10.744444444444444,11.006666666666668,1,3,1,135,1970-01-21 11:18:38.853333333,1970-01-21 11:19:18.480000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-19,17.477777777777778,23.822222222222223,11.522222222222222,17.788888888888888,24.522222222222226,11.322222222222225,0.0,0.0,0.0,0.0,72.55555555555556,9.055555555555555,25.12222222222222,18.441111111111113,1012.0333333333332,1.6666666666666667,12.044444444444444,0.0,3.3,21.386,103.023,10.757777777777775,11.018888888888888,1,4,0,189,1970-01-21 11:20:05.253333333,1970-01-21 11:20:44.920000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-20,17.799999999999997,24.38888888888889,12.11111111111111,18.288888888888888,25.555555555555557,12.144444444444444,0.0,0.0,0.0,0.0,71.55555555555556,6.411111111111111,19.322222222222223,18.426666666666662,1013.4555555555556,3.111111111111111,12.122222222222222,0.0,3.308888888888889,21.386,103.023,10.767777777777775,11.03,1,4,0,177,1970-01-21 11:21:31.653333333,1970-01-21 11:22:11.353333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-21,17.322222222222223,24.1,11.255555555555556,17.433333333333334,24.822222222222223,10.911111111111111,0.0222222222222222,0.0222222222222222,0.0,0.2222222222222222,71.66666666666667,9.511111111111113,25.677777777777777,17.193333333333335,1015.5333333333332,10.22222222222222,11.733333333333334,0.0,3.1244444444444444,21.386,103.023,10.704444444444444,11.041111111111112,1,4,1,99,1970-01-21 11:22:58.040000000,1970-01-21 11:23:37.800000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-22,15.944444444444445,20.6,11.944444444444445,16.255555555555556,21.177777777777777,11.522222222222222,0.8999999999999999,0.8999999999999999,0.0,4.888888888888889,86.44444444444444,9.211111111111112,22.533333333333335,11.174444444444443,1018.4444444444443,61.111111111111114,13.5,0.0,1.99,21.386,103.023,6.837777777777777,11.054444444444446,1,4,51,55,1970-01-21 11:24:24.433333333,1970-01-21 11:25:04.240000000,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-23,14.244444444444444,19.422222222222224,11.122222222222222,14.255555555555556,20.14444444444445,10.422222222222222,0.3333333333333333,0.3333333333333333,0.0,2.2222222222222223,87.55555555555556,7.222222222222222,17.644444444444446,7.745555555555557,1020.5444444444444,71.66666666666667,12.055555555555555,0.0,1.401111111111111,21.386,103.023,4.337777777777777,11.07,1,4,51,45,1970-01-21 11:25:50.826666666,1970-01-21 11:26:30.666666666,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-24,14.644444444444446,20.7,10.233333333333333,14.755555555555556,21.288888888888888,9.68888888888889,0.1777777777777777,0.1777777777777777,0.0,1.3333333333333333,87.0,7.911111111111111,21.51111111111111,10.093333333333334,1018.8888888888888,62.44444444444444,12.27777777777778,0.0,1.767777777777778,21.386,103.023,6.022222222222222,11.081111111111111,1,4,51,34,1970-01-21 11:27:17.213333333,1970-01-21 11:27:57.113333333,Đông,,,
Điện Biên,Trung du miền núi Bắc Bộ,2026-01-25,16.255555555555556,23.544444444444444,10.044444444444444,16.311111111111114,23.477777777777774,9.711111111111112,0.0111111111111111,0.0111111111111111,0.0,0.1111111111111111,77.55555555555556,10.566666666666666,29.266666666666666,16.555555555555557,1016.2333333333332,37.55555555555556,11.844444444444443,0.0,2.947777777777778,21.386,103.023,10.65,11.096666666666668,1,4,3,82,1970-01-21 11:28:43.606666666,1970-01-21 11:29:23.553333333,Đông,,,
